name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,u_blanked_pt_fluor
AGG,A5,2,5/27/22,981.75,1.0,1.0,1.0,899.84375,32.01925106741218
AGG,A6,2,5/27/22,551.5,0.5,2.0,1.0,469.59375,32.34165176545526
AGG,A7,2,5/27/22,343.25,0.25,4.0,1.0,261.34375,27.735039911959298
AGG,A8,2,5/27/22,199.0,0.125,8.0,1.0,117.09375,27.513313848353043
AGG,B5,2,5/27/22,1002.0,1.0,1.0,1.0,920.09375,31.085620023594657
AGG,B6,2,5/27/22,585.5,0.5,2.0,1.0,503.59375,31.611956159834666
AGG,B7,2,5/27/22,402.75,0.25,4.0,1.0,320.84375,30.505176155061104
AGG,B8,2,5/27/22,192.75,0.125,8.0,1.0,110.84375,27.457223195083696
AGG,C5,2,5/27/22,1066.5,1.0,1.0,2.0,984.59375,30.010816476474645
AGG,C6,2,5/27/22,683.0,0.5,2.0,2.0,601.09375,30.93513276063278
AGG,C7,2,5/27/22,446.0,0.25,4.0,2.0,364.09375,30.848810440349922
AGG,C8,2,5/27/22,219.75,0.125,8.0,2.0,137.84375,27.25006004124227
AGG,D5,2,5/27/22,1059.5,1.0,1.0,2.0,977.59375,28.425031907070494
AGG,D6,2,5/27/22,675.25,0.5,2.0,2.0,593.34375,31.894081565675712
AGG,D7,2,5/27/22,464.75,0.25,4.0,2.0,382.84375,26.781195621517263
AGG,D8,2,5/27/22,233.75,0.125,8.0,2.0,151.84375,27.04130985950894
BG,E5,1,5/27/22,791.75,1.0,1.0,1.0,709.84375,28.528917006865893
BG,E6,1,5/27/22,548.5,0.5,2.0,1.0,466.59375,26.98114969600027
BG,E7,1,5/27/22,282.0,0.25,4.0,1.0,200.09375,28.02943284450547
BG,E8,1,5/27/22,201.25,0.125,8.0,1.0,119.34375,26.34196472521824
BG,F5,1,5/27/22,855.25,1.0,1.0,1.0,773.34375,29.30129301330077
BG,F6,1,5/27/22,501.5,0.5,2.0,1.0,419.59375,26.968792561983726
BG,F7,1,5/27/22,290.25,0.25,4.0,1.0,208.34375,26.731363082553585
BG,F8,1,5/27/22,183.75,0.125,8.0,1.0,101.84375,26.354615767476268
BG,G5,1,5/27/22,762.25,1.0,1.0,2.0,680.34375,28.79639628352783
BG,G6,1,5/27/22,468.5,0.5,2.0,2.0,386.59375,26.844908373556464
BG,G7,1,5/27/22,283.25,0.25,4.0,2.0,201.34375,26.443003591081997
BG,G8,1,5/27/22,213.0,0.125,8.0,2.0,131.09375,26.32455961489148
BG,H5,1,5/27/22,810.5,1.0,1.0,2.0,728.59375,27.99968640749349
BG,H6,1,5/27/22,502.25,0.5,2.0,2.0,420.34375,27.445080413764057
BG,H7,1,5/27/22,267.0,0.25,4.0,2.0,185.09375,26.299222528140298
BG,H8,1,5/27/22,211.75,0.125,8.0,2.0,129.84375,26.556212812032808
BLANK,A10,2,5/27/22,75.0,1.0,1.0,1.0,-6.90625,26.17216916722753
