name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
BG WT,E1,2,1/11/22,4906.75,0.900900901,1.0,1.0,4849.875,6399.028997747748,4281.293918918919,1.3618424773179154,0.734299316297912,291.4151602337034,313.5956279369446,290.09202640541076,0.11780957588668822,0.06352239151573139
BG WT,E2,2,1/11/22,5244.5,0.45045045,2.0,1.0,5187.625,6191.371340090091,4826.701576576576,1.2079569917811275,0.8278440431273171,315.05271349522076,313.67541808566483,316.28301661140523,0.10240088180399312,0.07017796212050918
BG WT,E3,2,1/11/22,5262.5,0.225225225,4.0,1.0,5205.625,6015.2452139639645,5020.827702702703,1.161252339634787,0.8611392768556223,320.89387489849094,313.60339219429056,320.4622045415307,0.09692267792605058,0.07187406382871007
BG WT,E4,2,1/11/22,5539.0,0.112612613,8.0,1.0,5482.125,5938.668637387387,5373.904279279279,1.0849556697814158,0.9216966442522654,400.9171306068563,313.586138028011,399.34784512461454,0.09952498892782173,0.08454893676208747
BG WT,E5,2,1/11/22,5629.75,0.056306306,16.0,1.0,5572.875,5887.092060810811,5516.230855855856,1.0569622753328476,0.946107560636533,378.0275064251741,313.5812851226905,377.4282236104038,0.09198537788253802,0.08233790695630244
BG WT,E6,2,1/11/22,5897.0,0.028153153,32.0,1.0,5840.125,5864.569538288289,5806.003378378378,1.0042102177169445,0.9958074338991327,375.9962929081905,313.59163789658686,373.8720060757967,0.0842519091487549,0.08354692669953781
BG WT,F1,2,1/11/22,5174.25,0.900900901,1.0,1.0,5117.375,6470.875844594595,4476.947072072072,1.3023267469561914,0.7678564556377331,407.9609404677957,313.9029242047051,395.4783719472237,0.1346869966117831,0.0794119295180951
BG WT,F2,2,1/11/22,5304.75,0.45045045,2.0,1.0,5247.875,6195.875844594595,4882.447072072072,1.1941651042194035,0.8374051431135023,260.5893236762302,313.70646606280604,255.1334924282413,0.08954651506008879,0.06279425851103397
BG WT,F3,2,1/11/22,5190.75,0.225225225,4.0,1.0,5133.875,6025.605574324325,4938.717342342343,1.1805591437029666,0.84705624901043,265.4859612371907,313.58915757564125,265.415451147568,0.08975801780259164,0.06440176274438662
BG WT,F4,2,1/11/22,5577.0,0.112612613,8.0,1.0,5520.125,5947.001970720721,5403.570945945946,1.0789990498858884,0.9267848753951701,318.27432446560164,313.5838733482074,318.41549618943185,0.08608202276766132,0.07393844948513015
