name,well,plate,date,pt_fluor,concentration,fold_dilution,replicate,blanked_pt_fluor,u_blanked_pt_fluor
BG WT,E1,2,1/11/22,688.0,1.0,1.0,1.0,631.125,4.6774937058665325
BG WT,E2,2,1/11/22,457.5,0.5,2.0,1.0,400.625,9.140328989434007
BG WT,E3,2,1/11/22,262.0,0.25,4.0,1.0,205.125,5.280051833876351
BG WT,E4,2,1/11/22,177.0,0.125,8.0,1.0,120.125,3.8138712661923577
BG WT,E5,2,1/11/22,119.75,0.0625,16.0,1.0,62.875,3.285667973957152
BG WT,E6,2,1/11/22,94.75,0.03125,32.0,1.0,37.875,4.335390874544958
BG WT,F1,2,1/11/22,767.75,1.0,1.0,1.0,710.875,16.107832898989074
BG WT,F2,2,1/11/22,462.5,0.5,2.0,1.0,405.625,10.370420147471743
BG WT,F3,2,1/11/22,273.5,0.25,4.0,1.0,216.625,4.108399611578823
BG WT,F4,2,1/11/22,186.25,0.125,8.0,1.0,129.375,3.5770957542520025
BG WT,F5,2,1/11/22,118.5,0.0625,16.0,1.0,61.625,3.1956659246163954
BG WT,F6,2,1/11/22,94.25,0.03125,32.0,1.0,37.375,4.016086075823206
BG WT,G1,2,1/11/22,744.5,1.0,1.0,2.0,687.625,5.119793033097569
BG WT,G2,2,1/11/22,480.0,0.5,2.0,2.0,423.125,5.342809563805137
BG WT,G3,2,1/11/22,267.75,0.25,4.0,2.0,210.875,5.898780724445324
BG WT,G4,2,1/11/22,177.75,0.125,8.0,2.0,120.875,3.7588492079918594
BG WT,G5,2,1/11/22,116.75,0.0625,16.0,2.0,59.875,4.335390874544958
BG WT,G6,2,1/11/22,89.25,0.03125,32.0,2.0,32.375,3.285667973957152
BG WT,H1,2,1/11/22,765.5,1.0,1.0,2.0,708.625,14.126061518876648
BG WT,H2,2,1/11/22,478.5,0.5,2.0,2.0,421.625,8.993272339277901
BG WT,H3,2,1/11/22,241.0,0.25,4.0,2.0,184.125,5.280051833876351
BG WT,H4,2,1/11/22,176.75,0.125,8.0,2.0,119.875,4.979519458249731
BG WT,H5,2,1/11/22,122.25,0.0625,16.0,2.0,65.375,3.8465067314496793
BG WT,H6,2,1/11/22,88.25,0.03125,32.0,2.0,31.375,3.285667973957152
BG dtox,A10,2,1/11/22,145.5,0.125,8.0,1.0,88.625,3.5887250338276164
BG dtox,A11,2,1/11/22,101.0,0.0625,16.0,1.0,44.125,3.5419788304121322
BG dtox,A12,2,1/11/22,78.5,0.03125,32.0,1.0,21.625,3.397883758324834
BG dtox,A7,2,1/11/22,587.5,1.0,1.0,1.0,530.625,8.805998752843864
BG dtox,A8,2,1/11/22,384.75,0.5,2.0,1.0,327.875,15.96231856702176
BG dtox,A9,2,1/11/22,219.5,0.25,4.0,1.0,162.625,6.943506369389629
BG dtox,B10,2,1/11/22,147.75,0.125,8.0,1.0,90.875,5.111648204681249
BG dtox,B11,2,1/11/22,99.5,0.0625,16.0,1.0,42.625,4.267584879267707
BG dtox,B12,2,1/11/22,81.0,0.03125,32.0,1.0,24.125,3.1430792812814996
BG dtox,B7,2,1/11/22,669.75,1.0,1.0,1.0,612.875,6.692952564831747
BG dtox,B8,2,1/11/22,392.75,0.5,2.0,1.0,335.875,12.49515695653404
BG dtox,B9,2,1/11/22,221.0,0.25,4.0,1.0,164.125,3.348474384216544
BG dtox,C10,2,1/11/22,150.0,0.125,8.0,2.0,93.125,4.458581317910556
BG dtox,C11,2,1/11/22,101.5,0.0625,16.0,2.0,44.625,4.4210421887930105
BG dtox,C12,2,1/11/22,77.75,0.03125,32.0,2.0,20.875,3.182600724002467
BG dtox,C7,2,1/11/22,603.5,1.0,1.0,2.0,546.625,8.137092890077767
BG dtox,C8,2,1/11/22,404.25,0.5,2.0,2.0,347.375,17.929369222082357
BG dtox,C9,2,1/11/22,227.0,0.25,4.0,2.0,170.125,6.419679174363336
BG dtox,D10,2,1/11/22,150.0,0.125,8.0,2.0,93.125,5.989903786240728
BG dtox,D11,2,1/11/22,102.25,0.0625,16.0,2.0,45.375,4.77447526279985
BG dtox,D12,2,1/11/22,79.75,0.03125,32.0,2.0,22.875,3.4826638322440813
BG dtox,D7,2,1/11/22,699.25,1.0,1.0,2.0,642.375,8.334403440064234
BG dtox,D8,2,1/11/22,417.75,0.5,2.0,2.0,360.875,9.93959828338589
BG dtox,D9,2,1/11/22,237.25,0.25,4.0,2.0,180.375,6.937502963489169
BLANK,E10,2,1/11/22,55.5,1.0,1.0,1.0,-1.375,3.1956659246163954
BLANK,E11,2,1/11/22,54.25,1.0,1.0,1.0,-2.625,3.182600724002467
BLANK,E12,2,1/11/22,53.25,1.0,1.0,1.0,-3.625,3.577095754252001
BLANK,E7,2,1/11/22,53.25,1.0,1.0,1.0,-3.625,3.285667973957152
BLANK,E8,2,1/11/22,56.0,1.0,1.0,1.0,-0.875,3.4465848848419545
BLANK,E9,2,1/11/22,54.75,1.0,1.0,1.0,-2.125,3.577095754252001
BLANK,F10,2,1/11/22,58.25,1.0,1.0,1.0,1.375,3.3855990166814443
BLANK,F11,2,1/11/22,57.75,1.0,1.0,1.0,0.875,3.577095754252001
BLANK,F12,2,1/11/22,56.25,1.0,1.0,1.0,-0.625,3.182600724002467
BLANK,F7,2,1/11/22,52.0,1.0,1.0,1.0,-4.875,3.6348701079618184
BLANK,F8,2,1/11/22,56.75,1.0,1.0,1.0,-0.125,3.8465067314496793
BLANK,F9,2,1/11/22,59.0,1.0,1.0,1.0,2.125,3.4465848848419545
BLANK,G10,2,1/11/22,59.25,1.0,1.0,1.0,2.375,3.3855990166814443
BLANK,G11,2,1/11/22,57.25,1.0,1.0,1.0,0.375,3.577095754252001
BLANK,G12,2,1/11/22,55.75,1.0,1.0,1.0,-1.125,3.577095754252001
BLANK,G7,2,1/11/22,52.75,1.0,1.0,1.0,-4.125,3.7588492079918594
BLANK,G8,2,1/11/22,58.0,1.0,1.0,1.0,1.125,3.7254459288011454
BLANK,G9,2,1/11/22,58.75,1.0,1.0,1.0,1.875,3.3855990166814443
BLANK,H10,2,1/11/22,61.5,1.0,1.0,1.0,4.625,3.942792669553865
BLANK,H11,2,1/11/22,63.0,1.0,1.0,1.0,6.125,3.8138712661923577
BLANK,H12,2,1/11/22,60.5,1.0,1.0,1.0,3.625,3.3978837583248334
BLANK,H7,2,1/11/22,54.5,1.0,1.0,1.0,-2.375,3.298324933723333
BLANK,H8,2,1/11/22,57.25,1.0,1.0,1.0,0.375,3.8465067314496793
BLANK,H9,2,1/11/22,59.5,1.0,1.0,1.0,2.625,4.026447652926133
EC WT,A1,2,1/11/22,2171.75,1.0,1.0,1.0,2114.875,81.97639262231795
EC WT,A2,2,1/11/22,1112.75,0.5,2.0,1.0,1055.875,13.788725371419254
EC WT,A3,2,1/11/22,595.5,0.25,4.0,1.0,538.625,9.842710366988404
EC WT,A4,2,1/11/22,369.5,0.125,8.0,1.0,312.625,8.536916736645669
EC WT,A5,2,1/11/22,218.25,0.0625,16.0,1.0,161.375,3.577095754252001
EC WT,A6,2,1/11/22,140.75,0.03125,32.0,1.0,83.875,3.285667973957152
EC WT,B1,2,1/11/22,2084.0,1.0,1.0,1.0,2027.125,12.670659573798337
EC WT,B2,2,1/11/22,1097.0,0.5,2.0,1.0,1040.125,14.510190006856837
EC WT,B3,2,1/11/22,608.75,0.25,4.0,1.0,551.875,15.857562255963364
EC WT,B4,2,1/11/22,390.25,0.125,8.0,1.0,333.375,5.176448013366665
EC WT,B5,2,1/11/22,217.5,0.0625,16.0,1.0,160.625,4.3449910665525
EC WT,B6,2,1/11/22,148.75,0.03125,32.0,1.0,91.875,3.4826638322440813
EC WT,C1,2,1/11/22,1991.0,1.0,1.0,2.0,1934.125,20.162976318864427
