,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,expected_blanked_pt_fluor,estimated_true_pt_fluor,F0_F_ratio,F_F0_ratio,u_blanked_pt_fluor,u_expected_blanked_pt_fluor,u_estimated_true_pt_fluor,u_F0_F_ratio,u_F_F0_ratio
1,140.025,A1,2500,452.7027027,1,25 mM HEPES pH 7,PYO,1,1,9/29/22,2435.715277777778,7600.5757007007005,1928.764577077077,3.6778075895348246,0.2719011192552577,4.018598709330847,267.3546406065672,0.3982395117354893,0.13860382054949072,0.010247010759262713
2,280.07,A1,2490,452.7027027,1,25 mM HEPES pH 7,PYO,1,1,9/29/22,2425.715277777778,7603.278403403403,1916.0618743743744,3.702189942230433,0.27011039833292205,4.018598709330847,267.3546406065672,0.3982395117354893,0.13952273476840074,0.010179526726844978
3,420.097,A1,2496,452.7027027,1,25 mM HEPES pH 7,PYO,1,1,9/29/22,2431.715277777778,7587.963088088088,1937.3771896896897,3.661457891499274,0.27311525344089793,4.018598709330847,267.3546406065672,0.3982395117354893,0.13798763872772607,0.010292765898067532
5,140.025,A2,2504,452.7027027,1,25 mM HEPES pH 7,PYO,2,1,9/29/22,2439.715277777778,7589.76488988989,1943.575387887888,3.6497812455367358,0.27398902364981065,4.018598709330847,267.3546406065672,0.3982395117354893,0.1375475734429078,0.010325694286228588
6,280.07,A2,2471,452.7027027,1,25 mM HEPES pH 7,PYO,2,1,9/29/22,2406.715277777778,7583.458583583583,1916.881694194194,3.700606574461535,0.2702259696832288,4.018598709330847,267.3546406065672,0.3982395117354893,0.13946306129953626,0.010183882078883901
7,420.097,A2,2491,452.7027027,1,25 mM HEPES pH 7,PYO,2,1,9/29/22,2426.715277777778,7578.053178178178,1942.2870995995995,3.6522020876637358,0.2738074115279,4.018598709330847,267.3546406065672,0.3982395117354893,0.1376388092706954,0.010318850158781598
9,140.025,A3,2424,452.7027027,1,25 mM HEPES pH 7,PYO,3,1,9/29/22,2359.715277777778,7605.080205205205,1848.2600725725727,3.8380015373737217,0.2605522666581011,4.018598709330847,267.3546406065672,0.3982395117354893,0.14464116842652588,0.009819324958216608
10,280.07,A3,2388,452.7027027,1,25 mM HEPES pH 7,PYO,3,1,9/29/22,2323.715277777778,7584.359484484485,1832.9807932932933,3.8699941788560555,0.2583983214919443,4.018598709330847,267.3546406065672,0.3982395117354893,0.14584690171218517,0.00973815278667141
11,420.097,A3,2428,452.7027027,1,25 mM HEPES pH 7,PYO,3,1,9/29/22,2363.715277777778,7583.458583583583,1873.881694194194,3.7855244661271947,0.26416418885889714,4.018598709330847,267.3546406065672,0.3982395117354893,0.1426634235311968,0.009955441549558226
13,140.025,A4,12701,450.4504505,1,25 mM HEPES pH 7,PMS,1,1,9/29/22,12636.715277777777,19570.84597097097,159.49430680680598,44.47572544763271,0.022484175130036615,4.018598709330847,267.3546406065672,0.3982395117354893,1.6797855989039054,0.0008491956726178403
14,280.07,A4,12623,450.4504505,1,25 mM HEPES pH 7,PMS,1,1,9/29/22,12558.715277777777,19517.692817817817,134.64745995996054,52.68294702409831,0.018981474205354884,4.018598709330847,267.3546406065672,0.3982395117354893,1.991512871413363,0.0007175348444549543
15,420.097,A4,12536,450.4504505,1,25 mM HEPES pH 7,PMS,1,1,9/29/22,12471.715277777777,19390.66579079079,174.67448698698718,40.610538621638874,0.0246241501329697,4.018598709330847,267.3546406065672,0.3982395117354893,1.5332455643699545,0.0009296815617126129
17,140.025,A5,12608,450.4504505,1,25 mM HEPES pH 7,PMS,2,1,9/29/22,12543.715277777777,19378.053178178176,259.28709959959997,27.358187163781842,0.036552129496498616,4.018598709330847,267.3546406065672,0.3982395117354893,1.0318756775117133,0.0013786459301158445
18,280.07,A5,12354,450.4504505,1,25 mM HEPES pH 7,PMS,2,1,9/29/22,12289.715277777777,19340.215340340343,43.12493743743653,164.49009370253745,0.006079393460668774,4.018598709330847,267.3546406065672,0.3982395117354893,6.3823622641435795,0.00023588588551977385
19,420.097,A5,12371,450.4504505,1,25 mM HEPES pH 7,PMS,2,1,9/29/22,12306.715277777777,19200.5757007007,199.76457707707596,35.50992425079967,0.028161141458291912,4.018598709330847,267.3546406065672,0.3982395117354893,1.3400969432563354,0.0010627637310720644
21,140.025,A6,12627,450.4504505,1,25 mM HEPES pH 7,PMS,3,1,9/29/22,12562.715277777777,19405.981106106105,250.359171671671,28.333793216502595,0.03529354479150942,4.018598709330847,267.3546406065672,0.3982395117354893,1.0687371774616945,0.0013312556901532862
22,280.07,A6,12447,450.4504505,1,25 mM HEPES pH 7,PMS,3,1,9/29/22,12382.715277777777,19356.431556556556,119.90872122122164,59.15854099480263,0.01690372992951018,4.018598709330847,267.3546406065672,0.3982395117354893,2.238087705996833,0.0006395024201839456
23,420.097,A6,12426,450.4504505,1,25 mM HEPES pH 7,PMS,3,1,9/29/22,12361.715277777777,19318.59371871872,136.7465590590582,51.87424860128583,0.019277387662733538,4.018598709330847,267.3546406065672,0.3982395117354893,1.9607597134880503,0.000728652966154821
25,140.025,A7,6508,450.4504505,1,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6443.715277777777,7159.134259259259,6378.206018518518,1.1121661764145483,0.8991462078300613,4.018598709330847,267.3546406065672,0.3982395117354893,0.041913116826520866,0.033885242018776775
26,280.07,A7,6531,450.4504505,1,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6466.715277777777,7158.233358358359,6402.106919419419,1.1080141411701527,0.9025155571966968,4.018598709330847,267.3546406065672,0.3982395117354893,0.04175664271593334,0.03401221903867984
27,420.097,A7,6557,450.4504505,1,25 mM HEPES pH 7,AQDS,1,1,9/29/22,6492.715277777777,7160.936061061061,6425.404216716716,1.1039966919971822,0.9057998155691507,4.018598709330847,267.3546406065672,0.3982395117354893,0.04160524063713898,0.034135989327698825
29,140.025,A8,6852,450.4504505,1,25 mM HEPES pH 7,AQDS,2,1,9/29/22,6787.715277777777,7158.233358358359,6723.106919419419,1.0551111390940928,0.9477674559085685,4.018598709330847,267.3546406065672,0.3982395117354893,0.03976293409026548,0.035717578448226615
