,time_s,well,pt_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_pt_fluor,u_blanked_pt_fluor
1,140.037,A1,627,502.5,1,25 mM HEPES pH 7,PYO,1,1,9/29/22,562.7152777777778,4.018598709330847
2,280.06,A1,630,502.5,1,25 mM HEPES pH 7,PYO,1,1,9/29/22,565.7152777777778,4.018598709330847
3,420.092,A1,613,502.5,1,25 mM HEPES pH 7,PYO,1,1,9/29/22,548.7152777777778,4.018598709330847
5,140.037,A2,615,502.5,1,25 mM HEPES pH 7,PYO,2,1,9/29/22,550.7152777777778,4.018598709330847
6,280.06,A2,608,502.5,1,25 mM HEPES pH 7,PYO,2,1,9/29/22,543.7152777777778,4.018598709330847
7,420.092,A2,602,502.5,1,25 mM HEPES pH 7,PYO,2,1,9/29/22,537.7152777777778,4.018598709330847
9,140.037,A3,632,502.5,1,25 mM HEPES pH 7,PYO,3,1,9/29/22,567.7152777777778,4.018598709330847
10,280.06,A3,609,502.5,1,25 mM HEPES pH 7,PYO,3,1,9/29/22,544.7152777777778,4.018598709330847
11,420.092,A3,608,502.5,1,25 mM HEPES pH 7,PYO,3,1,9/29/22,543.7152777777778,4.018598709330847
13,140.037,A4,13914,500.0,1,25 mM HEPES pH 7,PMS,1,1,9/29/22,13849.715277777777,4.018598709330847
14,280.06,A4,13855,500.0,1,25 mM HEPES pH 7,PMS,1,1,9/29/22,13790.715277777777,4.018598709330847
15,420.092,A4,13714,500.0,1,25 mM HEPES pH 7,PMS,1,1,9/29/22,13649.715277777777,4.018598709330847
17,140.037,A5,13700,500.0,1,25 mM HEPES pH 7,PMS,2,1,9/29/22,13635.715277777777,4.018598709330847
18,280.06,A5,13658,500.0,1,25 mM HEPES pH 7,PMS,2,1,9/29/22,13593.715277777777,4.018598709330847
19,420.092,A5,13503,500.0,1,25 mM HEPES pH 7,PMS,2,1,9/29/22,13438.715277777777,4.018598709330847
21,140.037,A6,13731,500.0,1,25 mM HEPES pH 7,PMS,3,1,9/29/22,13666.715277777777,4.018598709330847
22,280.06,A6,13676,500.0,1,25 mM HEPES pH 7,PMS,3,1,9/29/22,13611.715277777777,4.018598709330847
23,420.092,A6,13634,500.0,1,25 mM HEPES pH 7,PMS,3,1,9/29/22,13569.715277777777,4.018598709330847
25,140.037,A7,137,500.0,1,25 mM HEPES pH 7,AQDS,1,1,9/29/22,72.71527777777777,4.018598709330847
26,280.06,A7,136,500.0,1,25 mM HEPES pH 7,AQDS,1,1,9/29/22,71.71527777777777,4.018598709330847
27,420.092,A7,139,500.0,1,25 mM HEPES pH 7,AQDS,1,1,9/29/22,74.71527777777777,4.018598709330847
29,140.037,A8,136,500.0,1,25 mM HEPES pH 7,AQDS,2,1,9/29/22,71.71527777777777,4.018598709330847
30,280.06,A8,138,500.0,1,25 mM HEPES pH 7,AQDS,2,1,9/29/22,73.71527777777777,4.018598709330847
31,420.092,A8,136,500.0,1,25 mM HEPES pH 7,AQDS,2,1,9/29/22,71.71527777777777,4.018598709330847
33,140.037,A9,141,500.0,1,25 mM HEPES pH 7,AQDS,3,1,9/29/22,76.71527777777777,4.018598709330847
34,280.06,A9,141,500.0,1,25 mM HEPES pH 7,AQDS,3,1,9/29/22,76.71527777777777,4.018598709330847
35,420.092,A9,139,500.0,1,25 mM HEPES pH 7,AQDS,3,1,9/29/22,74.71527777777777,4.018598709330847
37,140.037,A10,63,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-1.2847222222222285,4.018598709330847
38,280.06,A10,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
39,420.092,A10,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
41,140.037,A11,58,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-6.2847222222222285,4.018598709330847
42,280.06,A11,59,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-5.2847222222222285,4.018598709330847
43,420.092,A11,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
45,140.037,A12,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
46,280.06,A12,60,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-4.2847222222222285,4.018598709330847
47,420.092,A12,57,1.0,1,25 mM HEPES pH 7,BLANK,1,1,9/29/22,-7.2847222222222285,4.018598709330847
49,140.037,B1,433,251.25,2,25 mM HEPES pH 7,PYO,1,1,9/29/22,368.71527777777777,4.018598709330847
50,280.06,B1,428,251.25,2,25 mM HEPES pH 7,PYO,1,1,9/29/22,363.71527777777777,4.018598709330847
51,420.092,B1,431,251.25,2,25 mM HEPES pH 7,PYO,1,1,9/29/22,366.71527777777777,4.018598709330847
53,140.037,B2,552,251.25,2,25 mM HEPES pH 7,PYO,2,1,9/29/22,487.71527777777777,4.018598709330847
54,280.06,B2,548,251.25,2,25 mM HEPES pH 7,PYO,2,1,9/29/22,483.71527777777777,4.018598709330847
55,420.092,B2,540,251.25,2,25 mM HEPES pH 7,PYO,2,1,9/29/22,475.71527777777777,4.018598709330847
57,140.037,B3,546,251.25,2,25 mM HEPES pH 7,PYO,3,1,9/29/22,481.71527777777777,4.018598709330847
58,280.06,B3,533,251.25,2,25 mM HEPES pH 7,PYO,3,1,9/29/22,468.71527777777777,4.018598709330847
59,420.092,B3,519,251.25,2,25 mM HEPES pH 7,PYO,3,1,9/29/22,454.71527777777777,4.018598709330847
61,140.037,B4,8223,250.0,2,25 mM HEPES pH 7,PMS,1,1,9/29/22,8158.715277777777,4.018598709330847
62,280.06,B4,8203,250.0,2,25 mM HEPES pH 7,PMS,1,1,9/29/22,8138.715277777777,4.018598709330847
63,420.092,B4,8128,250.0,2,25 mM HEPES pH 7,PMS,1,1,9/29/22,8063.715277777777,4.018598709330847
65,140.037,B5,8169,250.0,2,25 mM HEPES pH 7,PMS,2,1,9/29/22,8104.715277777777,4.018598709330847
66,280.06,B5,8173,250.0,2,25 mM HEPES pH 7,PMS,2,1,9/29/22,8108.715277777777,4.018598709330847
67,420.092,B5,8090,250.0,2,25 mM HEPES pH 7,PMS,2,1,9/29/22,8025.715277777777,4.018598709330847
69,140.037,B6,8697,250.0,2,25 mM HEPES pH 7,PMS,3,1,9/29/22,8632.715277777777,4.018598709330847
70,280.06,B6,8588,250.0,2,25 mM HEPES pH 7,PMS,3,1,9/29/22,8523.715277777777,4.018598709330847
