,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date
0,0.0,A1,53,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
1,74.687,A1,54,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
2,149.371,A1,54,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
3,224.07,A1,54,1.0,1,MM gluc+AA,PA14 WT,1,1,5/27/22
4,0.0,A2,35,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
5,74.687,A2,34,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
6,149.371,A2,34,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
7,224.07,A2,34,0.5,2,MM gluc+AA,PA14 WT,1,1,5/27/22
8,0.0,A3,18,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
9,74.687,A3,18,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
10,149.371,A3,18,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
11,224.07,A3,18,0.25,4,MM gluc+AA,PA14 WT,1,1,5/27/22
12,0.0,A4,10,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
13,74.687,A4,10,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
14,149.371,A4,10,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
15,224.07,A4,10,0.125,8,MM gluc+AA,PA14 WT,1,1,5/27/22
16,0.0,A5,12,1.0,1,MM gluc+AA,PS,1,1,5/27/22
17,74.687,A5,12,1.0,1,MM gluc+AA,PS,1,1,5/27/22
18,149.371,A5,12,1.0,1,MM gluc+AA,PS,1,1,5/27/22
19,224.07,A5,12,1.0,1,MM gluc+AA,PS,1,1,5/27/22
20,0.0,A6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
21,74.687,A6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
22,149.371,A6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
23,224.07,A6,8,0.5,2,MM gluc+AA,PS,1,1,5/27/22
24,0.0,A7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
25,74.687,A7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
26,149.371,A7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
27,224.07,A7,6,0.25,4,MM gluc+AA,PS,1,1,5/27/22
28,0.0,A8,3,0.125,8,MM gluc+AA,PS,1,1,5/27/22
29,74.687,A8,3,0.125,8,MM gluc+AA,PS,1,1,5/27/22
30,149.371,A8,3,0.125,8,MM gluc+AA,PS,1,1,5/27/22
31,224.07,A8,3,0.125,8,MM gluc+AA,PS,1,1,5/27/22
32,0.0,A9,10,1.0,1,MM gluc+AA,CG,1,1,5/27/22
33,74.687,A9,11,1.0,1,MM gluc+AA,CG,1,1,5/27/22
34,149.371,A9,11,1.0,1,MM gluc+AA,CG,1,1,5/27/22
35,224.07,A9,11,1.0,1,MM gluc+AA,CG,1,1,5/27/22
36,0.0,A10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
37,74.687,A10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
38,149.371,A10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
39,224.07,A10,6,0.5,2,MM gluc+AA,CG,1,1,5/27/22
40,0.0,A11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
41,74.687,A11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
42,149.371,A11,3,0.25,4,MM gluc+AA,CG,1,1,5/27/22
43,224.07,A11,4,0.25,4,MM gluc+AA,CG,1,1,5/27/22
44,0.0,A12,2,0.125,8,MM gluc+AA,CG,1,1,5/27/22
