name,well,plate,date,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
AGG,A5,2,5/27/22,3127.5,0.900900901,1.0,1.0,3126.4322916666665,4053.3254035285286,3107.7995964714714,1.2982473879313958,0.7702692177901334,36.60232398459558,161.84886398127614,36.36141468259466,0.05424798509146568,0.03218612525743221
AGG,A6,2,5/27/22,2641.0,0.45045045,2.0,1.0,2639.9322916666665,4040.0371152402404,2634.5878847597596,1.5314321954005514,0.6529835294068939,30.056559812126892,161.84823714338478,30.055514577123287,0.06386797320312267,0.027232504764817193
AGG,A7,2,5/27/22,2908.0,0.225225225,4.0,1.0,2906.9322916666665,4037.559637762763,2904.065362237237,1.3893257227602764,0.7197736165232914,32.07382298812068,161.84886398127614,31.670875731679793,0.05775444928828542,0.029921081970576184
AGG,A8,2,5/27/22,3352.0,0.112612613,8.0,1.0,3350.9322916666665,4036.433511636637,3349.191488363363,1.2046766278821972,0.8300982826885124,31.707992489906413,161.84823714338478,31.707001695140946,0.049652066466506765,0.03421340976643698
AGG,B5,2,5/27/22,2646.5,0.900900901,1.0,1.0,2645.4322916666665,4048.595673798799,2631.529326201201,1.5332121394815303,0.652225464597586,20.3403569554051,161.84907292670044,20.256708198433326,0.06262558349718318,0.02664080151749755
AGG,B6,2,5/27/22,2789.25,0.45045045,2.0,1.0,2788.1822916666665,4042.514592717718,2780.360407282282,1.4511401823179908,0.6891133001379933,58.03717303941183,161.84886398127614,57.715389120955024,0.06554345406551013,0.031125088040342867
AGG,B7,2,5/27/22,2861.75,0.225225225,4.0,1.0,2860.6822916666665,4038.2353134384384,2857.1396865615616,1.4121440149777569,0.7081430713819591,21.314630055589323,161.84823714338478,21.313156105146437,0.05761802086290847,0.028893513570889217
AGG,B8,2,5/27/22,3375.75,0.112612613,8.0,1.0,3374.6822916666665,4036.8839620870876,3372.4910379129124,1.1963538710632806,0.8358730841997715,28.930608722826772,161.84907292670044,29.35152730207422,0.04910718984668713,0.034310398642378684
AGG,C5,2,5/27/22,2653.0,0.900900901,1.0,2.0,2651.9322916666665,4049.0461242492493,2637.5788757507507,1.5296955649089028,0.6537248475709299,28.949325629565692,161.84823714338478,28.948240415651142,0.06361765747843702,0.027187398847160524
AGG,C6,2,5/27/22,2518.25,0.45045045,2.0,2.0,2517.1822916666665,4041.613691816817,2510.261308183183,1.6072799653090568,0.6221691438850944,43.48540124079914,161.84886398127614,43.43000391989807,0.07021561188925128,0.02718007321649364
AGG,C7,2,5/27/22,3175.0,0.225225225,4.0,2.0,3173.9322916666665,4039.1362143393394,3169.4887856606606,1.2729790137094068,0.7855589049233753,20.462896204430553,161.84823714338478,20.46136089875274,0.051721462866959625,0.03191745919864694
AGG,C8,2,5/27/22,3331.5,0.112612613,8.0,2.0,3330.4322916666665,4036.8839620870876,3328.2410379129124,1.2122597679594223,0.8249057062112062,12.126972186272715,161.84907292670044,12.52520553057048,0.048842241687335655,0.03323565207467865
AGG,D5,2,5/27/22,2687.25,0.900900901,1.0,2.0,2686.1822916666665,4049.4965746996995,2671.3784253003005,1.51034112955366,0.6621020777574419,22.912444676928292,161.84907292670044,23.132179762184123,0.06198150272318786,0.027171399184288188
