,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
1,1,74.679,A1,1696,0.99009901,1,MM noC,PA14 WT,1,1,12/3/21,1694.986111111111,4218.660160160161,1644.5481731731732,2.534569853420343,0.3945442650359481,0.11785113019775789,154.17683485385902,0.011678940830408439,0.09375024924981902,0.014593649150088135
2,2,149.361,A1,1695,0.99009901,1,MM noC,PA14 WT,1,1,12/3/21,1693.986111111111,4218.660160160161,1643.5481731731732,2.5361119864072497,0.3943043546025099,0.11785113019775789,154.17683485385902,0.011678940830408439,0.09380729062788086,0.014584775193794218
3,3,224.037,A1,1692,0.99009901,1,MM noC,PA14 WT,1,1,12/3/21,1690.986111111111,4218.660160160161,1640.5481731731732,2.5407496654974686,0.39358462330219535,0.11785113019775789,154.17683485385902,0.011678940830408439,0.09397883199856441,0.014558153324913673
5,5,74.679,A2,2142,0.495049505,2,MM noC,PA14 WT,1,1,12/3/21,2140.9861111111113,4195.236736736737,2113.971596596597,1.9717493976422769,0.5071638420154975,0.11785113019775789,154.17683485385902,0.011678940830408439,0.07293229495829034,0.01875929210998276
6,6,149.361,A2,2143,0.495049505,2,MM noC,PA14 WT,1,1,12/3/21,2141.9861111111113,4195.236736736737,2114.971596596597,1.970817115903451,0.5074037524489357,0.11785113019775789,154.17683485385902,0.011678940830408439,0.07289781113983079,0.018768166066341394
7,7,224.037,A2,2149,0.495049505,2,MM noC,PA14 WT,1,1,12/3/21,2147.9861111111113,4195.236736736737,2120.971596596597,1.9652418867422519,0.5088432150495648,0.11785113019775789,154.17683485385902,0.011678940830408439,0.07269159108613098,0.01882140980449515
9,9,74.679,A3,2669,0.247524752,4,MM noC,PA14 WT,1,1,12/3/21,2667.9861111111113,4186.227727727728,2649.980605605606,1.5729255577965446,0.6357579956936197,0.11785113019775789,154.17683485385902,0.011678940830408439,0.058180350099527524,0.023515812674469318
10,10,149.361,A3,2661,0.247524752,4,MM noC,PA14 WT,1,1,12/3/21,2659.9861111111113,4185.3268268268275,2642.881506506507,1.5771506259211703,0.6340548477517343,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05833662955278611,0.023452815578624317
11,11,224.037,A3,2647,0.247524752,4,MM noC,PA14 WT,1,1,12/3/21,2645.9861111111113,4185.3268268268275,2628.881506506507,1.5855496765091286,0.6306961016835997,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05864729887107522,0.02332858018910968
13,13,74.679,A4,2908,0.123762376,8,MM noC,PA14 WT,1,1,12/3/21,2906.9861111111113,4176.317817817819,2898.8905155155157,1.4378681084756244,0.6954740800671653,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05318476099253616,0.025724628362534682
14,14,149.361,A4,2881,0.123762376,8,MM noC,PA14 WT,1,1,12/3/21,2879.9861111111113,4177.218718718719,2870.9896146146148,1.451841623182514,0.6887803628387144,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05370162206239119,0.02547703698429604
15,15,224.037,A4,2884,0.123762376,8,MM noC,PA14 WT,1,1,12/3/21,2882.9861111111113,4177.218718718719,2873.9896146146148,1.4503261254063915,0.6895000941390289,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05364556588622636,0.02550365885350792
17,17,74.679,A5,3619,0.061881188,16,MM noC,PA14 WT,1,1,12/3/21,3617.9861111111113,4172.714214214215,3613.494119119119,1.1535157066308808,0.8669149403441934,0.11785113019775789,154.17683485385902,0.011678940830408439,0.042666957189585936,0.032065989595158856
18,18,149.361,A5,3569,0.061881188,16,MM noC,PA14 WT,1,1,12/3/21,3567.9861111111113,4173.615115115115,3562.593218218218,1.1699966757099767,0.8547032831466642,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04327656554045884,0.03161429721866223
19,19,224.037,A5,3558,0.061881188,16,MM noC,PA14 WT,1,1,12/3/21,3556.9861111111113,4173.615115115115,3551.593218218218,1.1736203912207486,0.8520642683788442,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04341060178713815,0.03151668369801352
21,21,74.679,A6,3858,0.030940594,32,MM noC,PA14 WT,1,1,12/3/21,3856.9861111111113,4170.912412412413,3854.295920920921,1.08144841697217,0.9246858049871591,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04000128738874594,0.03420285429160427
22,22,149.361,A6,3860,0.030940594,32,MM noC,PA14 WT,1,1,12/3/21,3858.9861111111113,4170.912412412413,3856.295920920921,1.080887542786605,0.9251656258540355,0.11785113019775789,154.17683485385902,0.011678940830408439,0.03998054142501429,0.03422060220445989
23,23,224.037,A6,3861,0.030940594,32,MM noC,PA14 WT,1,1,12/3/21,3859.9861111111113,4170.912412412413,3857.295920920921,1.0806073238029061,0.9254055362874737,0.11785113019775789,154.17683485385902,0.011678940830408439,0.039970176510703184,0.03422947616088773
25,25,74.679,A7,2624,0.99009901,1,MM noC,PA14 dside,1,1,12/3/21,2622.9861111111113,4188.9304304304305,2602.277902902903,1.6017590656141958,0.6243136196120415,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05924686185883336,0.02309250097083705
26,26,149.361,A7,2631,0.99009901,1,MM noC,PA14 dside,1,1,12/3/21,2629.9861111111113,4188.9304304304305,2609.277902902903,1.5974619712162301,0.6259929926461087,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05908791825277613,0.023154618665584013
27,27,224.037,A7,2621,0.99009901,1,MM noC,PA14 dside,1,1,12/3/21,2619.9861111111113,4188.9304304304305,2599.277902902903,1.6036077625894118,0.6235938883117269,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05931524261488843,0.023065879101660528
29,29,74.679,A8,2726,0.495049505,2,MM noC,PA14 dside,1,1,12/3/21,2724.9861111111113,4178.11961961962,2715.088713713714,1.535206640272503,0.651378110130176,0.11785113019775789,154.17683485385902,0.011678940830408439,0.056785179268912404,0.024093579186852548
30,30,149.361,A8,2730,0.495049505,2,MM noC,PA14 dside,1,1,12/3/21,2728.9861111111113,4178.11961961962,2719.088713713714,1.5329482268084191,0.6523377518639287,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05670164366413601,0.024129075012443157
31,31,224.037,A8,2743,0.495049505,2,MM noC,PA14 dside,1,1,12/3/21,2741.9861111111113,4178.11961961962,2732.088713713714,1.5256540540941586,0.6554565874986251,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05643184225768739,0.024244436445617478
33,33,74.679,A9,3294,0.247524752,4,MM noC,PA14 dside,1,1,12/3/21,3292.9861111111113,4173.615115115115,3287.593218218218,1.2678643449937763,0.7887279139511638,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04689655586140662,0.02917395920321668
34,34,149.361,A9,3300,0.247524752,4,MM noC,PA14 dside,1,1,12/3/21,3298.9861111111113,4173.615115115115,3293.593218218218,1.2655546529444108,0.7901673765517929,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04681112353290888,0.029227202941716983
35,35,224.037,A9,3297,0.247524752,4,MM noC,PA14 dside,1,1,12/3/21,3295.9861111111113,4173.615115115115,3290.593218218218,1.2667084461078482,0.7894476452514784,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04685380075326951,0.029200581072466716
37,37,74.679,A10,2816,0.123762376,8,MM noC,PA14 dside,1,1,12/3/21,2814.9861111111113,4170.912412412413,2812.295920920921,1.4821421142826559,0.6746991333445723,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05482239551018576,0.024956191705339865
38,38,149.361,A10,2805,0.123762376,8,MM noC,PA14 dside,1,1,12/3/21,2803.9861111111113,4170.912412412413,2801.295920920921,1.48796212177824,0.6720601185767524,0.11785113019775789,154.17683485385902,0.011678940830408439,0.055037669574505295,0.02485857818492424
39,39,224.037,A10,2788,0.123762376,8,MM noC,PA14 dside,1,1,12/3/21,2786.9861111111113,4170.912412412413,2784.295920920921,1.4970471317012741,0.6679816412083033,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05537371158344984,0.024707720926109688
41,41,74.679,A11,3157,0.061881188,16,MM noC,PA14 dside,1,1,12/3/21,3155.9861111111113,4170.011511511512,3154.196821821822,1.321484503879093,0.7567247266726128,0.11785113019775789,154.17683485385902,0.011678940830408439,0.048879891705717035,0.027990205395688732
42,42,149.361,A11,3141,0.061881188,16,MM noC,PA14 dside,1,1,12/3/21,3139.9861111111113,4170.011511511512,3138.196821821822,1.3282220519879433,0.7528861597376019,0.11785113019775789,154.17683485385902,0.011678940830408439,0.049129104333092775,0.02784822209308263
43,43,224.037,A11,3133,0.061881188,16,MM noC,PA14 dside,1,1,12/3/21,3131.9861111111113,4170.011511511512,3130.196821821822,1.3316166552735345,0.7509668762700964,0.11785113019775789,154.17683485385902,0.011678940830408439,0.049254666034490815,0.027777230441782323
45,45,74.679,A12,3509,0.030940594,32,MM noC,PA14 dside,1,1,12/3/21,3507.9861111111113,4169.110610610611,3507.097722722723,1.1885104299250144,0.8413893347684732,0.11785113019775789,154.17683485385902,0.011678940830408439,0.043961363814474796,0.031121832610008702
46,46,149.361,A12,3481,0.030940594,32,MM noC,PA14 dside,1,1,12/3/21,3479.9861111111113,4169.110610610611,3479.097722722723,1.1980756375420794,0.8346718426322041,0.11785113019775789,154.17683485385902,0.011678940830408439,0.044315167672545175,0.030873361830211853
47,47,224.037,A12,3460,0.030940594,32,MM noC,PA14 dside,1,1,12/3/21,3458.9861111111113,4169.110610610611,3458.097722722723,1.2053511949166043,0.8296337235300023,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04458428052113338,0.030687008745375
49,49,74.679,B1,1863,0.99009901,1,MM noC,PA14 WT,1,1,12/3/21,1861.986111111111,4229.470970970971,1800.7373623623623,2.3147307926981586,0.43201568111268485,0.11785113019775789,154.17683485385902,0.011678940830408439,0.08561870480906322,0.01597966519076617
50,50,149.361,B1,1846,0.99009901,1,MM noC,PA14 WT,1,1,12/3/21,1844.986111111111,4228.570070070071,1784.6382632632633,2.3356118200673937,0.4281533392698557,0.11785113019775789,154.17683485385902,0.011678940830408439,0.08639106528389151,0.015836802488570622
51,51,224.037,B1,1824,0.99009901,1,MM noC,PA14 WT,1,1,12/3/21,1822.986111111111,4228.570070070071,1762.6382632632633,2.364763269410354,0.4228753097342157,0.11785113019775789,154.17683485385902,0.011678940830408439,0.08746933729038806,0.01564157544959772
53,53,74.679,B2,2299,0.495049505,2,MM noC,PA14 WT,1,1,12/3/21,2297.9861111111113,4198.840340340341,2267.367992992993,1.8383527663368158,0.5439652379628122,0.11785113019775789,154.17683485385902,0.011678940830408439,0.06799813716523832,0.020120525038196013
54,54,149.361,B2,2282,0.495049505,2,MM noC,PA14 WT,1,1,12/3/21,2280.9861111111113,4197.939439439439,2251.268893893894,1.8514990517248615,0.5401028961199831,0.11785113019775789,154.17683485385902,0.011678940830408439,0.0684844001670519,0.019977662335179634
55,55,224.037,B2,2269,0.495049505,2,MM noC,PA14 WT,1,1,12/3/21,2267.9861111111113,4198.840340340341,2237.367992992993,1.8630025258590872,0.5367679249596666,0.11785113019775789,154.17683485385902,0.011678940830408439,0.06890989784193703,0.019854306347084835
57,57,74.679,B3,2658,0.247524752,4,MM noC,PA14 WT,1,1,12/3/21,2656.9861111111113,4185.3268268268275,2639.881506506507,1.5789429229868157,0.6333351164514197,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05840292415378588,0.023426193709441812
58,58,149.361,B3,2659,0.247524752,4,MM noC,PA14 WT,1,1,12/3/21,2657.9861111111113,4185.3268268268275,2640.881506506507,1.578345038182406,0.6335750268848579,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05838080921797946,0.023435067665835935
59,59,224.037,B3,2645,0.247524752,4,MM noC,PA14 WT,1,1,12/3/21,2643.9861111111113,4185.3268268268275,2626.881506506507,1.58675684909958,0.6302162808167233,0.11785113019775789,154.17683485385902,0.011678940830408439,0.058691950523289294,0.023310832276322652
61,61,74.679,B4,3107,0.123762376,8,MM noC,PA14 WT,1,1,12/3/21,3105.9861111111113,4178.11961961962,3096.088713713714,1.3462864302820639,0.7427839852701237,0.11785113019775789,154.17683485385902,0.011678940830408439,0.0497972808128946,0.0274745565771377
62,62,149.361,B4,3096,0.123762376,8,MM noC,PA14 WT,1,1,12/3/21,3094.9861111111113,4178.11961961962,3085.088713713714,1.3510866652533546,0.7401449705023037,0.11785113019775789,154.17683485385902,0.011678940830408439,0.049974834894965035,0.027376943056613853
63,63,224.037,B4,3095,0.123762376,8,MM noC,PA14 WT,1,1,12/3/21,3093.9861111111113,4178.11961961962,3084.088713713714,1.3515247481980006,0.7399050600688655,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04999103897988531,0.02736806910020278
65,65,74.679,B5,3561,0.061881188,16,MM noC,PA14 WT,1,1,12/3/21,3559.9861111111113,4173.615115115115,3554.593218218218,1.1726298809267388,0.8527839996791587,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04337396417535126,0.03154330556728111
66,66,149.361,B5,3595,0.061881188,16,MM noC,PA14 WT,1,1,12/3/21,3593.9861111111113,4173.615115115115,3588.593218218218,1.1615198404381417,0.860940954416057,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04296301907688028,0.03184502008565943
67,67,224.037,B5,3572,0.061881188,16,MM noC,PA14 WT,1,1,12/3/21,3570.9861111111113,4172.714214214215,3566.494119119119,1.168716976113148,0.8556391499725987,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04322923121459425,0.0316489136432663
69,69,74.679,B6,3741,0.030940594,32,MM noC,PA14 WT,1,1,12/3/21,3739.9861111111113,4170.912412412413,3737.295920920921,1.115304303009304,0.8966162842748917,0.11785113019775789,154.17683485385902,0.011678940830408439,0.041253569989966425,0.03316460138966156
70,70,149.361,B6,3731,0.030940594,32,MM noC,PA14 WT,1,1,12/3/21,3729.9861111111113,4170.912412412413,3727.295920920921,1.1182965642267437,0.8942171799405099,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04136424961176424,0.03307586182540342
71,71,224.037,B6,3736,0.030940594,32,MM noC,PA14 WT,1,1,12/3/21,3734.9861111111113,4170.912412412413,3732.295920920921,1.1167984293147204,0.8954167321077008,0.11785113019775789,154.17683485385902,0.011678940830408439,0.04130883566444547,0.033120231607532274
73,73,74.679,B7,2746,0.99009901,1,MM noC,PA14 dside,1,1,12/3/21,2744.9861111111113,4190.7322322322325,2722.4761011011014,1.531040886102321,0.6531504214402599,0.11785113019775789,154.17683485385902,0.011678940830408439,0.056631093757343653,0.024159134540421342
74,74,149.361,B7,2750,0.99009901,1,MM noC,PA14 dside,1,1,12/3/21,2748.9861111111113,4190.7322322322325,2726.4761011011014,1.5287947033677884,0.6541100631740127,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05654801055042389,0.024194630366013246
75,75,224.037,B7,2756,0.99009901,1,MM noC,PA14 dside,1,1,12/3/21,2754.9861111111113,4190.7322322322325,2732.4761011011014,1.525437759745661,0.6555495257746418,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05642384182752047,0.024247874104402413
77,77,74.679,B8,2775,0.495049505,2,MM noC,PA14 dside,1,1,12/3/21,2773.9861111111113,4178.11961961962,2764.088713713714,1.5079914770976992,0.6631337213686469,0.11785113019775789,154.17683485385902,0.011678940830408439,0.05577852785175382,0.024528403050385294
