,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
1,1,74.668,A1,57,1.0,1,MM noC,PA14 WT,1,1,12/3/21,55.986111111111114,0.11785113019775789
2,2,149.35,A1,57,1.0,1,MM noC,PA14 WT,1,1,12/3/21,55.986111111111114,0.11785113019775789
3,3,224.037,A1,57,1.0,1,MM noC,PA14 WT,1,1,12/3/21,55.986111111111114,0.11785113019775789
5,5,74.668,A2,31,0.5,2,MM noC,PA14 WT,1,1,12/3/21,29.98611111111111,0.11785113019775789
6,6,149.35,A2,31,0.5,2,MM noC,PA14 WT,1,1,12/3/21,29.98611111111111,0.11785113019775789
7,7,224.037,A2,31,0.5,2,MM noC,PA14 WT,1,1,12/3/21,29.98611111111111,0.11785113019775789
9,9,74.668,A3,21,0.25,4,MM noC,PA14 WT,1,1,12/3/21,19.98611111111111,0.11785113019775789
10,10,149.35,A3,20,0.25,4,MM noC,PA14 WT,1,1,12/3/21,18.98611111111111,0.11785113019775789
11,11,224.037,A3,20,0.25,4,MM noC,PA14 WT,1,1,12/3/21,18.98611111111111,0.11785113019775789
13,13,74.668,A4,10,0.125,8,MM noC,PA14 WT,1,1,12/3/21,8.98611111111111,0.11785113019775789
14,14,149.35,A4,11,0.125,8,MM noC,PA14 WT,1,1,12/3/21,9.98611111111111,0.11785113019775789
15,15,224.037,A4,11,0.125,8,MM noC,PA14 WT,1,1,12/3/21,9.98611111111111,0.11785113019775789
17,17,74.668,A5,6,0.0625,16,MM noC,PA14 WT,1,1,12/3/21,4.986111111111111,0.11785113019775789
18,18,149.35,A5,7,0.0625,16,MM noC,PA14 WT,1,1,12/3/21,5.986111111111111,0.11785113019775789
19,19,224.037,A5,7,0.0625,16,MM noC,PA14 WT,1,1,12/3/21,5.986111111111111,0.11785113019775789
21,21,74.668,A6,4,0.03125,32,MM noC,PA14 WT,1,1,12/3/21,2.986111111111111,0.11785113019775789
22,22,149.35,A6,4,0.03125,32,MM noC,PA14 WT,1,1,12/3/21,2.986111111111111,0.11785113019775789
23,23,224.037,A6,4,0.03125,32,MM noC,PA14 WT,1,1,12/3/21,2.986111111111111,0.11785113019775789
