name,well,plate,date,index,rtdp_fluor,concentration,fold_dilution,replicate,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
BG WT,E1,2,12/3/21,194.0,3176.3333333333335,0.9900990100000001,1.0,1.0,3175.319444444445,4179.621121121122,3163.9205455455462,1.317423166043352,0.7590575494458046,6.807879421833387,154.1777122231524,7.315115682542375,0.0488247712994496,0.028131288571551144
BG WT,E2,2,12/3/21,198.0,3249.0,0.49504950500000006,2.0,1.0,3247.9861111111113,4174.516016016017,3241.6923173173177,1.2858167321911849,0.7777158089208257,3.0023139224419704,154.17683485385902,3.000022732857023,0.04757547367763597,0.02877563891468527
BG WT,E3,2,12/3/21,202.0,3574.0,0.247524752,4.0,1.0,3572.9861111111113,4171.813313313313,3569.39502002002,1.1677671422869984,0.8563351063650951,7.811138770300325,154.17683485385902,7.810258407867112,0.043269610739084745,0.031730030219949384
BG WT,E4,2,12/3/21,206.0,3679.6666666666665,0.123762376,8.0,1.0,3678.652777777778,4170.011511511512,3676.8634884884887,1.1336352941228518,0.8821179132163031,49.0341434331449,154.17683485385902,49.03400319911681,0.04457367465656189,0.0346842031791644
BG WT,E5,2,12/3/21,210.0,3993.0,0.061881188,16.0,1.0,3991.9861111111113,4169.110610610611,3991.097722722723,1.0443798954084906,0.9575059845525539,40.78006729872928,154.17683485385902,40.77989868057128,0.04007697990184584,0.0367432849555195
BG WT,E6,2,12/3/21,214.0,4337.333333333333,0.030940594,32.0,1.0,4336.319444444444,4168.81031031031,4335.731356356357,0.9613654259532112,1.0401871889749748,37.23368397328185,154.1777122231524,36.72146337503383,0.036479866767162125,0.03947082872165071
BG WT,F1,2,12/3/21,242.0,3544.3333333333335,0.9900990100000001,1.0,1.0,3543.319444444445,4181.723223223224,3529.818443443444,1.1808602309177116,0.8468402727246093,8.145380422191666,154.17683485385902,8.144536188819675,0.04376329307015856,0.03138434005018385
BG WT,F2,2,12/3/21,246.0,3407.0,0.49504950500000006,2.0,1.0,3405.9861111111113,4174.816316316316,3399.392017017017,1.2261669737872296,0.8155496122288519,23.065426267227082,154.1777122231524,22.597545344287273,0.04608084581196086,0.03064934608134656
BG WT,F3,2,12/3/21,250.0,3888.3333333333335,0.247524752,4.0,1.0,3887.319444444445,4172.113613613614,3883.4280530530536,1.0733357655345954,0.9316749074339574,4.620305425209671,154.1777122231524,4.38196395919353,0.0397196804587796,0.034477402880829545
BG WT,F4,2,12/3/21,254.0,3398.0,0.123762376,8.0,1.0,3396.9861111111113,4169.711211211212,3395.4971221221226,1.2275734810863752,0.8146151863064216,18.02814158167416,154.1777122231524,17.52862399593062,0.04584633925849839,0.03042353453536461
BG WT,F5,2,12/3/21,258.0,4034.0,0.061881188,16.0,1.0,4032.9861111111113,4169.110610610611,4032.097722722723,1.0337602183430168,0.9673423123235193,25.942511229425897,154.17683485385902,25.942246171017242,0.038811517748712235,0.036317922335996636
BG WT,F6,2,12/3/21,262.0,4336.333333333333,0.030940594,32.0,1.0,4335.319444444444,4168.81031031031,4334.731356356357,0.9615872079615803,1.0399472785415367,7.3720568515322435,154.1777122231524,6.8626891984534035,0.03560035161302353,0.03850143644648488
BG WT,G1,2,12/3/21,290.0,3183.6666666666665,0.9900990100000001,1.0,2.0,3182.652777777778,4179.921421421422,3170.953578578579,1.314501180458997,0.7607448474491445,11.846823296657238,154.17683485385902,11.846242852946697,0.04886895449522195,0.028282063101294008
BG WT,G2,2,12/3/21,294.0,3418.3333333333335,0.49504950500000006,2.0,2.0,3417.319444444445,4175.116616616618,3410.4250500500507,1.22220021289166,0.8181965519659448,24.007232706462137,154.1777122231524,24.193237056061303,0.046031404344758234,0.030815520992197653
BG WT,G3,2,12/3/21,298.0,3388.6666666666665,0.247524752,4.0,2.0,3387.652777777778,4171.212712712713,3384.662287287287,1.2315031363329714,0.8120157963849651,9.609746210083866,154.1777122231524,10.020569761739258,0.045697283844454845,0.030131402218006132
BG WT,G4,2,12/3/21,302.0,3679.3333333333335,0.123762376,8.0,2.0,3678.319444444445,4170.011511511512,3676.530155155155,1.1337380753909028,0.8820379430718237,4.04316982356935,154.17683485385902,4.041468759126048,0.041953924570802284,0.03263977292062094
BG WT,G5,2,12/3/21,306.0,3777.0,0.061881188,16.0,2.0,3775.9861111111113,4169.110610610611,3775.097722722723,1.1041362445091794,0.9056853309299063,6.246109900481169,154.17683485385902,6.245008918941503,0.04088130290071134,0.03353353947993569
BG WT,G6,2,12/3/21,310.0,4198.333333333333,0.030940594,32.0,2.0,4197.319444444444,4168.81031031031,4196.731356356357,0.9932068241416134,1.0068396387270675,14.224880393951453,154.1777122231524,13.707271640533166,0.03688029997276259,0.037386521113378625
BG WT,H1,2,12/3/21,338.0,3296.6666666666665,0.9900990100000001,1.0,2.0,3295.652777777778,4180.822322322323,3283.0526776776783,1.2696178317707298,0.7876385909020392,23.115951683247207,154.17683485385902,23.115654213778793,0.047804652079730954,0.029656789516044658
BG WT,H2,2,12/3/21,342.0,3502.3333333333335,0.49504950500000006,2.0,2.0,3501.319444444445,4175.416916916917,3494.1247497497498,1.1929231268920069,0.8382769831995454,22.00788999932126,154.17683485385902,22.007577552538464,0.0447597203621334,0.03145302702931097
BG WT,H3,2,12/3/21,346.0,3533.6666666666665,0.247524752,4.0,2.0,3532.652777777778,4171.813313313313,3529.061686686687,1.1811134494890683,0.8466587188830885,7.3720568515322205,154.17683485385902,7.371124047999273,0.04375735749482106,0.03136662972917692
BG WT,H4,2,12/3/21,350.0,3323.3333333333335,0.123762376,8.0,2.0,3322.319444444445,4169.711211211212,3320.830455455456,1.255174655295838,0.7967018739430374,23.09431146889259,154.1777122231524,23.614149033282988,0.047277338193220095,0.03000852811571432
BG WT,H5,2,12/3/21,354.0,3997.6666666666665,0.061881188,16.0,2.0,3996.652777777778,4169.110610610611,3995.7643893893896,1.0431601606167742,0.9586255665752653,4.164999666533312,154.17683485385902,4.163348379729065,0.03860036306829757,0.03547230455434504
BG WT,H6,2,12/3/21,358.0,4015.6666666666665,0.030940594,32.0,2.0,4014.652777777778,4168.81031031031,4014.06468968969,1.0384043468279156,0.9630159995523593,15.044840385401915,154.1777122231524,15.093217408600324,0.038607091884005476,0.0358042098861193
BG dtox,A10,2,12/3/21,38.0,3823.6666666666665,0.123762376,8.0,1.0,3822.652777777778,4170.011511511512,3820.8634884884887,1.0909110557810446,0.9166650156314015,43.03890358991764,154.17683485385902,43.038743821480146,0.042180877746718345,0.03544352654062968
BG dtox,A11,2,12/3/21,42.0,3414.6666666666665,0.061881188,16.0,1.0,3413.652777777778,4168.81031031031,3413.06468968969,1.2212549720530466,0.8188298290560113,27.5381049134145,154.1777122231524,27.840986459868507,0.04625796897977093,0.031015148923822646
BG dtox,A12,2,12/3/21,46.0,4138.666666666667,0.030940594,32.0,1.0,4137.652777777778,4168.20970970971,4137.665290290291,1.0073850661636743,0.9926690732156691,4.727284867894366,154.17683485385902,4.725830057354273,0.03727954578259837,0.03673496203675158
BG dtox,A7,2,12/3/21,26.0,3114.0,0.9900990100000001,1.0,1.0,3112.9861111111113,4178.11961961962,3103.088713713714,1.3432494545841644,0.744463358304191,28.688218642656935,154.17683485385902,28.68797895282376,0.051213360933159265,0.028383760395530835
BG dtox,A8,2,12/3/21,30.0,3359.0,0.49504950500000006,2.0,1.0,3357.9861111111113,4173.615115115115,3352.593218218218,1.2432830203115073,0.8043220921246458,32.23373836353595,154.17683485385902,32.2335250383457,0.0475154876303436,0.030739385799369436
BG dtox,A9,2,12/3/21,34.0,3510.6666666666665,0.247524752,4.0,1.0,3509.652777777778,4170.912412412413,3506.9625875875877,1.188556227253485,0.8413569144396301,25.026929940011005,154.17683485385902,25.02665518464242,0.04477379240654593,0.03169453742544561
BG dtox,B10,2,12/3/21,86.0,3672.0,0.123762376,8.0,1.0,3670.9861111111113,4169.410910910911,3669.797422422423,1.135818069072268,0.8804226902436905,72.80806197728991,154.1777122231524,72.43767405952988,0.04762019892767887,0.03691251688229582
BG dtox,B11,2,12/3/21,90.0,3758.3333333333335,0.061881188,16.0,1.0,3757.319444444445,4168.81031031031,3756.7313563563566,1.1095342804242914,0.9012790480142668,58.7907069375953,154.1777122231524,58.28245234015414,0.0445038985825036,0.03615069138019232
BG dtox,B12,2,12/3/21,94.0,3887.6666666666665,0.030940594,32.0,1.0,3886.652777777778,4168.20970970971,3886.66529029029,1.0724417748642574,0.9324515544226851,54.77542534953269,154.17683485385902,54.77529981415892,0.042449931312264495,0.036908767790463336
BG dtox,B7,2,12/3/21,74.0,3287.3333333333335,0.9900990100000001,1.0,1.0,3286.319444444445,4178.720220220221,3275.8214464464468,1.2724204570868283,0.7859037430830628,24.420221584216225,154.1777122231524,24.566459196412282,0.048022673884416826,0.02966094968720314
BG dtox,B8,2,12/3/21,78.0,3406.6666666666665,0.49504950500000006,2.0,1.0,3405.652777777778,4173.915415415416,3399.9595845845847,1.2259622852933136,0.8156857776099925,45.74218208855177,154.1777122231524,46.25095195872838,0.04831613986907536,0.03214681935406422
BG dtox,B9,2,12/3/21,82.0,3584.3333333333335,0.247524752,4.0,1.0,3583.319444444445,4170.912412412413,3580.629254254254,1.164103269633356,0.8590303163695763,19.85817771655352,154.17683485385902,19.85783144582995,0.04353987854978764,0.03212951687447549
BG dtox,C10,2,12/3/21,134.0,3746.0,0.123762376,8.0,2.0,3744.9861111111113,4169.711211211212,3743.4971221221226,1.113456772169049,0.8981040171429093,73.99333678709785,154.1777122231524,73.4758062264861,0.04662446865844135,0.03760686866875731
BG dtox,C11,2,12/3/21,138.0,3688.3333333333335,0.061881188,16.0,2.0,3687.319444444445,4169.110610610611,3686.4310560560566,1.13069311722911,0.8844132724983874,41.58542078928887,154.17683485385902,41.585255436644715,0.043724514690519724,0.03420073982639326
BG dtox,C12,2,12/3/21,142.0,4050.6666666666665,0.030940594,32.0,2.0,4049.652777777778,4168.510010010011,4049.36498998999,1.0293520669354448,0.9714849098979024,71.59851410624543,154.1777122231524,71.33348352915307,0.04217179564834654,0.03980102086707721
BG dtox,C7,2,12/3/21,122.0,3291.3333333333335,0.9900990100000001,1.0,2.0,3290.319444444445,4178.41991991992,3280.121746746747,1.2707522903246813,0.7869354299920222,11.061067860845188,154.1777122231524,11.126779037227033,0.04720062424052102,0.029229806481887905
BG dtox,C8,2,12/3/21,126.0,3615.0,0.49504950500000006,2.0,2.0,3613.9861111111113,4174.215715715716,3607.9926176176177,1.15527459836504,0.8655950727344073,49.568275024342825,154.1777122231524,49.105241382797615,0.04553297273118409,0.03411579974046088
BG dtox,C9,2,12/3/21,130.0,3729.3333333333335,0.247524752,4.0,2.0,3728.319444444445,4171.513013013013,3725.0286536536537,1.1189772240097717,0.8936732388676996,42.770868850447954,154.1777122231524,43.01191033844554,0.04335925178824949,0.034628946996464176
BG dtox,D10,2,12/3/21,182.0,4004.3333333333335,0.123762376,8.0,2.0,4003.319444444445,4170.011511511512,4001.530155155155,1.0416570813173354,0.9600088339392332,91.35834511538732,154.17683485385902,91.35826984860749,0.04527800883000341,0.04172898090896748
BG dtox,D11,2,12/3/21,186.0,3714.3333333333335,0.061881188,16.0,2.0,3713.319444444445,4169.110610610611,3712.4310560560566,1.1227743113027346,0.8906509437677802,10.786436956762955,154.17683485385902,10.785799447931142,0.0416577879279475,0.03304541951111713
BG dtox,D12,2,12/3/21,190.0,3984.3333333333335,0.030940594,32.0,2.0,3983.319444444445,4168.510010010011,3983.0316566566567,1.0464948766490634,0.9555708511465029,25.423359774471596,154.1777122231524,25.149351809300512,0.03926833585293658,0.035856532078064544
BG dtox,D7,2,12/3/21,170.0,3560.3333333333335,0.9900990100000001,1.0,2.0,3559.319444444445,4179.621121121122,3547.9205455455462,1.1748352785000984,0.8511831558860669,4.620305425209671,154.1777122231524,4.899633960254049,0.04348581521963159,0.031506028217147444
BG dtox,D8,2,12/3/21,174.0,3580.3333333333335,0.49504950500000006,2.0,2.0,3579.319444444445,4174.215715715716,3573.325950950951,1.1664825094147806,0.8572781777085503,50.21301845360644,154.1777122231524,50.59686204677614,0.04619995953537702,0.033953545639160115
BG dtox,D9,2,12/3/21,178.0,3535.6666666666665,0.247524752,4.0,2.0,3534.652777777778,4170.912412412413,3531.9625875875877,1.1801433675630226,0.8473546752755847,27.64683023824293,154.17683485385902,27.646581519800847,0.04461860646621982,0.03203660320652844
EC WT,A1,2,12/3/21,2.0,3753.3333333333335,0.9900990100000001,1.0,1.0,3752.319444444445,4202.744244244245,3717.797422422422,1.1211536693966275,0.8919383910487231,84.83128681225003,154.1777122231524,84.31260891796705,0.048643791127580875,0.038698767151334745
EC WT,A2,2,12/3/21,6.0,3643.6666666666665,0.49504950500000006,2.0,1.0,3642.652777777778,4185.3268268268275,3625.548173173174,1.149680551223813,0.8698068336769889,39.0684939845679,154.17683485385902,39.068317979290946,0.04429295389154798,0.03351045117497873
EC WT,A3,2,12/3/21,10.0,3580.6666666666665,0.247524752,4.0,1.0,3579.652777777778,4176.017517517518,3571.8574824824827,1.1669620758007566,0.8569258768017898,50.332367540403034,154.1777122231524,49.915548364212405,0.04614224334333433,0.03388326249373277
EC WT,A4,2,12/3/21,14.0,3604.6666666666665,0.123762376,8.0,1.0,3603.652777777778,4172.413913913914,3599.461086086086,1.1580128587400802,0.8635482693067861,1.1606990230986438,154.1777122231524,1.6748766352404933,0.0428366896223366,0.031943988278720484
EC WT,A5,2,12/3/21,18.0,3986.6666666666665,0.061881188,16.0,1.0,3985.652777777778,4170.011511511512,3983.8634884884887,1.046276368220559,0.9557704162818254,11.240428026646656,154.17683485385902,11.239816267670644,0.038812737453506364,0.035455322665908645
EC WT,A6,2,12/3/21,22.0,4051.0,0.030940594,32.0,1.0,4049.9861111111113,4169.410910910911,4048.797422422423,1.0294963633246799,0.9713487445167619,63.02391521390026,154.1777122231524,63.48171654001153,0.04135954778881385,0.03902349367092927
EC WT,B1,2,12/3/21,50.0,3862.0,0.9900990100000001,1.0,1.0,3860.9861111111113,4203.945445445445,3825.262887887888,1.0896564090850496,0.9177204774481791,55.07280534791094,154.1777122231524,54.75523301086031,0.04321764603349974,0.036398371469546525
EC WT,B2,2,12/3/21,54.0,3540.6666666666665,0.49504950500000006,2.0,1.0,3539.652777777778,4185.3268268268275,3522.548173173174,1.1832974362043753,0.845096059032856,7.095577652469344,154.17683485385902,7.094608497372664,0.04383337832776796,0.031305244265309874
EC WT,B3,2,12/3/21,58.0,3836.0,0.247524752,4.0,1.0,3834.9861111111113,4177.51901901902,3825.6893143143147,1.089534951682113,0.9178227815969726,6.246109900481169,154.1777122231524,6.4087813982489665,0.04034170673086065,0.03398379962838571
EC WT,B4,2,12/3/21,62.0,3531.3333333333335,0.123762376,8.0,1.0,3530.319444444445,4172.714214214215,3525.8274524524527,1.182196882414918,0.8458827923461126,34.53038114794301,154.17683485385902,34.53018201126354,0.04523460967558227,0.03236616380251856
EC WT,B5,2,12/3/21,66.0,4105.666666666667,0.061881188,16.0,1.0,4104.652777777778,4170.912412412413,4101.962587587587,1.016153154305974,0.984103622335349,9.019269494932734,154.17683485385902,9.018507067746535,0.03765244365586847,0.03646488330474687
EC WT,B6,2,12/3/21,70.0,4074.0,0.030940594,32.0,1.0,4072.9861111111113,4169.410910910911,4071.797422422422,1.023681138769039,0.9768666844858398,63.17447181329566,154.1777122231524,62.81899101516729,0.04102619860514232,0.039150009793728444
EC WT,C1,2,12/3/21,98.0,3811.6666666666665,0.9900990100000001,1.0,2.0,3810.652777777778,4202.143643643644,3776.7313563563566,1.103658647895878,0.9060772566830305,52.31010631056123,154.1777122231524,52.073785013355426,0.04356682824421891,0.035767320170200664
