,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,expected_blanked_rtdp_fluor,estimated_true_rtdp_fluor,F0_F_ratio,F_F0_ratio,u_blanked_rtdp_fluor,u_expected_blanked_rtdp_fluor,u_estimated_true_rtdp_fluor,u_F0_F_ratio,u_F_F0_ratio
1,1,74.68,A1,1191,497.5247525,1,25 mM HEPES pH 7,PYO,1,1,11/23/21,1190.013888888889,4452.412678767876,1184.0595434543454,3.7552658208060614,0.2662927333824138,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.18927688452429106,0.013421968337586831
2,2,149.357,A1,1186,497.5247525,1,25 mM HEPES pH 7,PYO,1,1,11/23/21,1185.013888888889,4452.412678767876,1179.0595434543454,3.7711906561617217,0.2651682429171559,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.19007954494004664,0.013365290578425552
3,3,224.04,A1,1170,497.5247525,1,25 mM HEPES pH 7,PYO,1,1,11/23/21,1169.013888888889,4452.412678767876,1163.0595434543454,3.8230702446472584,0.26156987342833055,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.192694434898648,0.01318392174911072
5,5,74.68,A2,1213,497.5247525,1,25 mM HEPES pH 7,PYO,2,1,11/23/21,1212.013888888889,4452.412678767876,1206.0595434543454,3.6867651829178953,0.2712404914295487,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.18582424283240184,0.013671350477898598
6,6,149.357,A2,1208,497.5247525,1,25 mM HEPES pH 7,PYO,2,1,11/23/21,1207.013888888889,4452.412678767876,1201.0595434543454,3.70211315297904,0.2701160009642908,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.18659782747265935,0.01361467271873653
7,7,224.04,A2,1198,497.5247525,1,25 mM HEPES pH 7,PYO,2,1,11/23/21,1197.013888888889,4452.412678767876,1191.0595434543454,3.733195672516578,0.26786702003377494,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.1881644815382645,0.013501317200412928
9,9,74.68,A3,1193,497.5247525,1,25 mM HEPES pH 7,PYO,3,1,11/23/21,1192.013888888889,4452.412678767876,1186.0595434543454,3.748933481352228,0.266742529568517,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.1889577152452895,0.013444639441251394
10,10,149.357,A3,1190,497.5247525,1,25 mM HEPES pH 7,PYO,3,1,11/23/21,1189.013888888889,4452.412678767876,1183.0595434543454,3.758440019299775,0.26606783528936223,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.18943687383819877,0.01341063278575456
11,11,224.04,A3,1180,497.5247525,1,25 mM HEPES pH 7,PYO,3,1,11/23/21,1179.013888888889,4452.412678767876,1173.0595434543454,3.7904796548005626,0.2638188543588464,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.19105176947620955,0.013297277267432265
13,13,74.68,A4,2526,495.049505,1,25 mM HEPES pH 7,PMS,1,1,11/23/21,2525.0138888888887,4670.234460946094,2301.2377612761275,1.9322029249457457,0.517543984169302,0.16666666666666666,224.11516214164197,0.0016501650165016515,0.09738893789445811,0.026085799933943183
