,index,time_s,well,rtdp_fluor,concentration,fold_dilution,media,name,replicate,plate,date,blanked_rtdp_fluor,u_blanked_rtdp_fluor
1,1,74.671,A1,7,502.5,1,25 mM HEPES pH 7,PYO,1,1,11/23/21,6.013888888888889,0.16666666666666666
2,2,149.357,A1,7,502.5,1,25 mM HEPES pH 7,PYO,1,1,11/23/21,6.013888888888889,0.16666666666666666
3,3,224.038,A1,7,502.5,1,25 mM HEPES pH 7,PYO,1,1,11/23/21,6.013888888888889,0.16666666666666666
5,5,74.671,A2,7,502.5,1,25 mM HEPES pH 7,PYO,2,1,11/23/21,6.013888888888889,0.16666666666666666
6,6,149.357,A2,7,502.5,1,25 mM HEPES pH 7,PYO,2,1,11/23/21,6.013888888888889,0.16666666666666666
7,7,224.038,A2,7,502.5,1,25 mM HEPES pH 7,PYO,2,1,11/23/21,6.013888888888889,0.16666666666666666
9,9,74.671,A3,7,502.5,1,25 mM HEPES pH 7,PYO,3,1,11/23/21,6.013888888888889,0.16666666666666666
10,10,149.357,A3,7,502.5,1,25 mM HEPES pH 7,PYO,3,1,11/23/21,6.013888888888889,0.16666666666666666
11,11,224.038,A3,7,502.5,1,25 mM HEPES pH 7,PYO,3,1,11/23/21,6.013888888888889,0.16666666666666666
13,13,74.671,A4,227,500.0,1,25 mM HEPES pH 7,PMS,1,1,11/23/21,226.01388888888889,0.16666666666666666
14,14,149.357,A4,226,500.0,1,25 mM HEPES pH 7,PMS,1,1,11/23/21,225.01388888888889,0.16666666666666666
15,15,224.038,A4,224,500.0,1,25 mM HEPES pH 7,PMS,1,1,11/23/21,223.01388888888889,0.16666666666666666
17,17,74.671,A5,221,500.0,1,25 mM HEPES pH 7,PMS,2,1,11/23/21,220.01388888888889,0.16666666666666666
18,18,149.357,A5,221,500.0,1,25 mM HEPES pH 7,PMS,2,1,11/23/21,220.01388888888889,0.16666666666666666
19,19,224.038,A5,220,500.0,1,25 mM HEPES pH 7,PMS,2,1,11/23/21,219.01388888888889,0.16666666666666666
21,21,74.671,A6,224,500.0,1,25 mM HEPES pH 7,PMS,3,1,11/23/21,223.01388888888889,0.16666666666666666
22,22,149.357,A6,224,500.0,1,25 mM HEPES pH 7,PMS,3,1,11/23/21,223.01388888888889,0.16666666666666666
23,23,224.038,A6,224,500.0,1,25 mM HEPES pH 7,PMS,3,1,11/23/21,223.01388888888889,0.16666666666666666
25,25,74.671,A7,2,500.0,1,25 mM HEPES pH 7,AQDS,1,1,11/23/21,1.0138888888888888,0.16666666666666666
26,26,149.357,A7,1,500.0,1,25 mM HEPES pH 7,AQDS,1,1,11/23/21,0.01388888888888884,0.16666666666666666
27,27,224.038,A7,2,500.0,1,25 mM HEPES pH 7,AQDS,1,1,11/23/21,1.0138888888888888,0.16666666666666666
29,29,74.671,A8,2,500.0,1,25 mM HEPES pH 7,AQDS,2,1,11/23/21,1.0138888888888888,0.16666666666666666
30,30,149.357,A8,2,500.0,1,25 mM HEPES pH 7,AQDS,2,1,11/23/21,1.0138888888888888,0.16666666666666666
31,31,224.038,A8,1,500.0,1,25 mM HEPES pH 7,AQDS,2,1,11/23/21,0.01388888888888884,0.16666666666666666
33,33,74.671,A9,2,500.0,1,25 mM HEPES pH 7,AQDS,3,1,11/23/21,1.0138888888888888,0.16666666666666666
34,34,149.357,A9,2,500.0,1,25 mM HEPES pH 7,AQDS,3,1,11/23/21,1.0138888888888888,0.16666666666666666
35,35,224.038,A9,2,500.0,1,25 mM HEPES pH 7,AQDS,3,1,11/23/21,1.0138888888888888,0.16666666666666666
37,37,74.671,A10,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
38,38,149.357,A10,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
39,39,224.038,A10,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
41,41,74.671,A11,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
42,42,149.357,A11,0,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,-0.9861111111111112,0.16666666666666666
43,43,224.038,A11,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
45,45,74.671,A12,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
46,46,149.357,A12,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
47,47,224.038,A12,1,1.0,1,25 mM HEPES pH 7,BLANK,1,1,11/23/21,0.01388888888888884,0.16666666666666666
49,49,74.671,B1,7,251.25,2,25 mM HEPES pH 7,PYO,1,1,11/23/21,6.013888888888889,0.16666666666666666
